timestep,discharge
0,0.0
1,2.83
2,5.67
3,8.5
4,11.33
5,14.17
6,17.0
7,19.83
8,22.67
9,25.5
10,28.33
11,31.17
12,34.0
13,36.83
14,39.67
15,42.5
16,45.33
17,48.17
18,51.0
19,53.83
20,56.67
21,59.5
22,62.33
23,65.17
24,68.0
25,70.83
26,73.67
27,76.5
28,79.33
29,82.17
30,85.0
31,83.58
32,82.17
33,80.75
34,79.33
35,77.92
36,76.5
37,75.08
38,73.67
39,72.25
40,70.83
41,69.42
42,68.0
43,66.58
44,65.17
45,63.75
46,62.33
47,60.92
48,59.5
49,58.08
50,56.67
51,55.25
52,53.83
53,52.42
54,51.0
55,49.58
56,48.17
57,46.75
58,45.33
59,43.92
60,42.5
61,41.08
62,39.67
63,38.25
64,36.83
65,35.42
66,34.0
67,32.58
68,31.17
69,29.75
70,28.33
71,26.92
72,25.5
73,24.08
74,22.67
75,21.25
76,19.83
77,18.42
78,17.0
79,15.58
80,14.17
81,12.75
82,11.33
83,9.92
84,8.5
85,7.08
86,5.67
87,4.25
88,2.83
89,1.42
90,0.0
